totalId:ID,name,:LABEL
264931,41.46亿元,总授信额度
264932,13.64亿元,总授信额度
264933,0.27亿元,总授信额度
264934,10.51亿元,总授信额度
264935,10.81亿元,总授信额度
264936,7.59亿元,总授信额度
264937,23.40亿元,总授信额度
264938,4.90亿元,总授信额度
264939,31.00亿元,总授信额度
264940,32.91亿元,总授信额度
264941,122.00亿元,总授信额度
264942,18.00亿元,总授信额度
264943,9.96亿元,总授信额度
264944,0.63亿元,总授信额度
264945,10.97亿元,总授信额度
264946,5.69亿元,总授信额度
264947,3.54亿元,总授信额度
264948,0.10亿元,总授信额度
264949,2.45亿元,总授信额度
264950,3.31亿元,总授信额度
264951,4.76亿元,总授信额度
264952,7.23亿元,总授信额度
264953,9.92亿元,总授信额度
264954,4.50亿元,总授信额度
264955,44.11亿元,总授信额度
264956,1745.61亿元,总授信额度
264957,8.80亿元,总授信额度
264958,16.50亿元,总授信额度
264959,6.00亿元,总授信额度
264960,10.40亿元,总授信额度
264961,2.00亿元,总授信额度
264962,3.00亿元,总授信额度
264963,6.00亿元,总授信额度
264964,2.80亿元,总授信额度
264965,7.20亿元,总授信额度
264966,1.45亿元,总授信额度
264967,0.37亿元,总授信额度
264968,73.27亿元,总授信额度
264969,79.43亿元,总授信额度
264970,28.30亿元,总授信额度
264971,60.21亿元,总授信额度
264972,34.27亿元,总授信额度
264973,71.38亿元,总授信额度
264974,42.79亿元,总授信额度
264975,16.25亿元,总授信额度
264976,59.68亿元,总授信额度
264977,284.58亿元,总授信额度
264978,9.00亿元,总授信额度
264979,20.75亿元,总授信额度
264980,8.48亿元,总授信额度
264981,8.00亿元,总授信额度
264982,5.23亿元,总授信额度
264983,1.50亿元,总授信额度
264984,0.50亿元,总授信额度
264985,1.67亿元,总授信额度
264986,3.00亿元,总授信额度
264987,1.00亿元,总授信额度
264988,19.48亿元,总授信额度
264989,6.10亿元,总授信额度
264990,12.20亿元,总授信额度
264991,3.03亿元,总授信额度
264992,0.70亿元,总授信额度
264993,6.65亿元,总授信额度
264994,0.50亿元,总授信额度
264995,5.15亿元,总授信额度
264996,1.28亿元,总授信额度
264997,0.47亿元,总授信额度
264998,0.60亿元,总授信额度
264999,0.40亿元,总授信额度
265000,1.73亿元,总授信额度
265001,0.48亿元,总授信额度
265002,1.20亿元,总授信额度
265003,1.64亿元,总授信额度
265004,0.12亿元,总授信额度
265005,16.70亿元,总授信额度
265006,0.20亿元,总授信额度
265007,1.05亿元,总授信额度
265008,1.50亿元,总授信额度
265009,0.50亿元,总授信额度
265010,0.50亿元,总授信额度
265011,0.60亿元,总授信额度
265012,2.96亿元,总授信额度
265013,2.10亿元,总授信额度
265014,1.00亿元,总授信额度
265015,1.70亿元,总授信额度
