bankId:ID,name,:LABEL
246276,法国巴黎,合作银行
246277,进出口行,合作银行
246278,招商银行上海,合作银行
246279,上海农商行,合作银行
246280,招行深圳,合作银行
246281,宁夏银行,合作银行
246282,新韩银行,合作银行
246283,法兴银行,合作银行
246284,华侨银行,合作银行
246285,中信国际深圳,合作银行
246286,德意志银行,合作银行
246287,富邦华一,合作银行
246288,华美银行,合作银行
246289,大新银行,合作银行
246290,韩国产业银行首尔,合作银行
246291,韩国产业银行上海,合作银行
246292,保险资金,合作银行
246293,浙银金租,合作银行
246294,民生租赁,合作银行
246295,农银租赁,合作银行
246296,互联网金融,合作银行
246297,中铁金租,合作银行
246298,招银租赁,合作银行
246299,工银租赁,合作银行
246300,交银租赁,合作银行
246301,中信金租,合作银行
246302,上海信托,合作银行
246303,中铁金控租赁,合作银行
246304,航天租赁,合作银行
246305,陆家嘴信托,合作银行
246306,昆仑信托,合作银行
246307,华电租赁,合作银行
246308,工行南方支行,合作银行
246309,浙商银行股份有限公司,合作银行
246310,国家开发银行安徽省分行,合作银行
246311,中国工商银行望江路支行,合作银行
246312,中国银行经开区支行,合作银行
246313,中国邮储银行合肥分行,合作银行
246314,徽商银行合肥南七支行,合作银行
246315,平安银行合肥分行,合作银行
246316,九江银行包河支行,合作银行
246317,中信银行璟泰大厦支行,合作银行
246318,上交所非公开发行公司债券,合作银行
246319,湖北银行,合作银行
246320,长春发展农村商业银行,合作银行
246321,长春农村商业银行大连金马路支行,合作银行
246322,民生银行大连分行,合作银行
246323,华夏银行站北支行,合作银行
246324,吉林银行大连分行,合作银行
246325,锦州银行宽甸支行,合作银行
246326,中信银行大连分行,合作银行
246327,丹东银行大连分行,合作银行
246328,鑫汇村镇银行开发区支行,合作银行
246329,大连银行第一中心支行,合作银行
246330,交通银行佳木斯分行,合作银行
246331,抚远银行,合作银行
246332,同江市农信社,合作银行
246333,锦州银行大连分行,合作银行
246334,兴业银行大连分行,合作银行
246335,汉口银行,合作银行
246336,长城资产管理公司,合作银行
246337,中国工商银行股份有限公司常熟支行,合作银行
246338,渤海银行深圳分行,合作银行
246339,济南农商行,合作银行
246340,威海银行,合作银行
246341,中信银行珠海分行,合作银行
246342,招商银行佛山顺德分行,合作银行
246343,上海浦东发展银行股份有限公司,合作银行
246344,重庆银行遵义支行,合作银行
246345,民生银行盐城分行,合作银行
246346,农行东岗路支行,合作银行
246347,扬州农商行,合作银行
246348,三菱东京,合作银行
246349,甘肃银行,合作银行
246350,华联财务公司,合作银行
246351,海峡银行龙岩分行,合作银行
246352,中行淮海广场支行,合作银行
246353,建设银行湛江分行,合作银行
246354,民生银行泉州分行,合作银行
246355,贵州省农村信用联社开发区分社,合作银行
246356,国家开发银行股份有限公司,合作银行
246357,中国银行池州分行,合作银行
246358,上海浦发银行,合作银行
246359,北京农商行,合作银行
246360,昆仑银行,合作银行
246361,银行2,合作银行
246362,其他,合作银行
246363,永亨银行,合作银行
246364,永隆银行,合作银行
246365,恒丰鼓楼,合作银行
246366,滨海农村商业银行西青中北支行,合作银行
246367,工行前海支行,合作银行
246368,巴黎银行,合作银行
246369,平安资产管理有限责任公司,合作银行
246370,南京天元租赁有限公司,合作银行
246371,南京市天元科技小额贷款有限责任公司,合作银行
246372,紫金信托有限责任公司,合作银行
246373,海通证券,合作银行
246374,红塔银行,合作银行
246375,农信社,合作银行
246376,富滇银行,合作银行
246377,浦发行,合作银行
246378,广发行,合作银行
246379,新展银行,合作银行
246380,中国民生银行,合作银行
246381,交通银行股份有限公司,合作银行
246382,国家开发银行浙江省分行,合作银行
246383,锦州银行北京分行,合作银行
246384,中行,合作银行
246385,建行,合作银行
246386,工行,合作银行
246387,民生,合作银行
246388,广发,合作银行
246389,浦发,合作银行
246390,招商,合作银行
246391,江苏,合作银行
246392,中信,合作银行
246393,中国光大银行股份有限公司,合作银行
246394,中国建设银行股份有限公司盘锦分行,合作银行
246395,民丰农商行,合作银行
246396,张家港农商行,合作银行
246397,财政厅外经处,合作银行
246398,中原银行,合作银行
246399,渤海银行郑州分行,合作银行
246400,陕西省国际信托有限公司,合作银行
246401,郑州市市郊农村信用合作联社,合作银行
246402,河南巩义农村商业银行股份有限公司,合作银行
246403,河南资产管理有限公司,合作银行
246404,浦发银行郑州健康路支行,合作银行
246405,郑州银行,合作银行
246406,计提厅占用费,合作银行
246407,东亚银行上海分行,合作银行
246408,招商银行常州分行,合作银行
246409,西藏信托有限公司,合作银行
246410,杭州联合银行,合作银行
246411,合肥科技,合作银行
246412,中国农业银行股份有限公司龙口市支行,合作银行
246413,东方资产,合作银行
246414,中信银行城南支行,合作银行
246415,中信银行开发区支行,合作银行
246416,中国银行开发区分行,合作银行
246417,渤海银行广州分行,合作银行
246418,工商银行开发区分行,合作银行
246419,浦发银行广州分行,合作银行
246420,招商银行体育西支行,合作银行
246421,广发银行广州分行,合作银行
246422,浙商银行广州分行,合作银行
246423,平安银行广州分行,合作银行
246424,兴业银行广州分行,合作银行
246425,厦门国际银行珠海分行,合作银行
246426,华厦银行广州开发区支行,合作银行
246427,招行武钢支行,合作银行
246428,华夏银行武昌支行,合作银行
246429,平安银行武汉分行,合作银行
246430,汉口银行硚口支行,合作银行
246431,民生银行中南支行,合作银行
246432,浦发银行武汉分行,合作银行
246433,中行亳州芍花支行,合作银行
246434,财务公司,合作银行
246435,欧洲投资银行,合作银行
246436,立根租赁融资,合作银行
246437,中国信托商业银行,合作银行
246438,高明农商银行荷城支行,合作银行
246439,王子控股株式会社,合作银行
246440,北京首创环境投资有限公司,合作银行
246441,海门农村商业银行,合作银行
246442,江苏隆禾桦化工有限公司,合作银行
246443,东风标致雪铁龙汽车金融有限公司,合作银行
246444,马鞍山农村商业银行,合作银行
246445,中国银行股份有限公司,合作银行
246446,建设银行北京市分行,合作银行
246447,重行,合作银行
246448,中原银行股份有限公司,合作银行
246449,国银金融租赁有限公司,合作银行
246450,合众资产管理股份有限公司,合作银行
246451,光大银行股份有限公司,合作银行
246452,芜湖市住房公积金管理中心,合作银行
246453,企业债,合作银行
246454,非公开定向债务融资工具,合作银行
246455,中期票据,合作银行
246456,昆山农商,合作银行
246457,柳州银行,合作银行
246458,交行长治分行营业部,合作银行
246459,龙江银行,合作银行
246460,中国农业发展银行,合作银行
246461,本溪市商业银行,合作银行
246462,沈阳农商行,合作银行
246463,朝阳银行,合作银行
246464,营口银行,合作银行
246465,丹东银行,合作银行
246466,锦州银行,合作银行
246467,桓仁农商行,合作银行
246468,抚顺银行,合作银行
246469,大连商行,合作银行
246470,民生金融租赁股份有限公司,合作银行
246471,晋城银行,合作银行
246472,石嘴山银行,合作银行
246473,浙商银行深圳分行,合作银行
246474,荷兰商业银行,合作银行
246475,招商银行凤起支行,合作银行
246476,招商银行大连和平广场支行,合作银行
246477,中国光大银行武汉分行营业部,合作银行
246478,进出口银行湖南省分行,合作银行
246479,三井住友广州分行,合作银行
246480,滨海农商行,合作银行
246481,鄞州银行,合作银行
246482,华一银行,合作银行
246483,国家开发银行青岛分行,合作银行
246484,中国农业发展银行即墨支行,合作银行
246485,北京银行济南分行,合作银行
246486,渤海银行股份有限公司德州分行,合作银行
246487,平安融资租赁有限公司,合作银行
246488,中国银行即墨振华街支行,合作银行
246489,日照银行即墨支行,合作银行
246490,光大银行即墨支行,合作银行
246491,青岛银行即墨支行,合作银行
246492,农商银行即墨新服分理处,合作银行
246493,中国建设银行即墨支行,合作银行
246494,潍坊银行青岛即墨分行,合作银行
246495,郑州市农商行,合作银行
246496,长安银行宝鸡分行,合作银行
246497,建设银行宝鸡金台支行,合作银行
246498,浙商银行西安分行,合作银行
246499,西安银行宝鸡分行,合作银行
246500,兴业银行宝鸡分行,合作银行
246501,恒丰银行西安分行,合作银行
246502,交通银行宝鸡分行,合作银行
246503,招商银行宝鸡分行,合作银行
246504,民生银行宝鸡分行,合作银行
246505,中信银行宝鸡分行,合作银行
246506,浦发银行宝鸡分行,合作银行
246507,华夏银行宝鸡分行,合作银行
246508,光大银行清华园支行,合作银行
246509,光大银行宁波分行,合作银行
246510,省行政事业集团公司,合作银行
246511,农发行铅山县支行,合作银行
246512,上饶银行铅山支行,合作银行
246513,中国银行南通城东支行,合作银行
246514,中国工商银行人民路支行,合作银行
246515,中国邮政储蓄银行南通分行,合作银行
246516,江苏银行股份有限公司南通开发区支行,合作银行
246517,建设银行中山分行,合作银行
246518,广汽金融,合作银行
246519,北京市文化科技融资租赁股份有限公司,合作银行
246520,呼和浩特市财政局,合作银行
246521,沧州银行,合作银行
246522,广州银行佛山分行,合作银行
246523,农业银行和平支行,合作银行
246524,稠州银行,合作银行
246525,深圳农村商业银行,合作银行
246526,贵州银行,合作银行
246527,贵州农商行,合作银行
246528,邮储,合作银行
246529,信托公司,合作银行
246530,东亚,合作银行
246531,渣打,合作银行
246532,汇丰,合作银行
246533,海峡银行,合作银行
246534,招商银行西康路支行,合作银行
246535,中国农业银行股份有限公司,合作银行
246536,民丰银行,合作银行
246537,上海浦发,合作银行
246538,华夏租赁,合作银行
246539,工行绍兴营业部,合作银行
246540,西安进出口,合作银行
246541,平安银行青岛分行,合作银行
246542,交行新区支行,合作银行
246543,天津农商银行,合作银行
246544,滨海农商银行,合作银行
246545,金城银行,合作银行
246546,中广核国际融资租赁有限公司,合作银行
246547,平安国际融资租赁有限公司,合作银行
246548,航天科工金融租赁有限公司,合作银行
246549,国网国际融资租赁有限公司,合作银行
246550,花溪农商业银行,合作银行
246551,贵州银行南明区支行,合作银行
246552,阜新银行,合作银行
246553,临商银行,合作银行
246554,贵阳农商银行,合作银行
246555,西藏银行,合作银行
246556,齐鲁章丘村镇银行,合作银行
246557,宁德农商行闽东路支行,合作银行
246558,马鞍山农商行,合作银行
246559,合肥科技农商行,合作银行
246560,进出口,合作银行
246561,宝鸡银行,合作银行
246562,通商银行,合作银行
246563,恒丰银行青岛分行,合作银行
246564,中国光大银行,合作银行
246565,湖北省投资公司(国家开发银行),合作银行
246566,随州农商行,合作银行
246567,中国银行天津市分行大港支行,合作银行
246568,厦门国际上海分行,合作银行
246569,国家开发银行吉林省分行,合作银行
246570,中国建设银行辽源分行,合作银行
246571,中国农业发展银行股份有限公司,合作银行
246572,中国农发重点基金建设有限公司,合作银行
246573,华夏银行股份有限公司长春分行,合作银行
246574,吉林省投资集团有限公司,合作银行
246575,吉林银行股份有限公司,合作银行
246576,辽源农村商业银行股份有限责任公司辽源分行,合作银行
246577,吉林省九台农村商业银行长春高新支行,合作银行
246578,中国交通银行股份有限公司辽源支行,合作银行
246579,中国工商银行辽源东方红支行,合作银行
246580,上海浦东发展银行长春分行,合作银行
246581,渤海银行长沙分行,合作银行
246582,厦门农商行,合作银行
246583,交通银行余杭支行,合作银行
246584,兴业银行余杭支行,合作银行
246585,农业银行余杭支行,合作银行
246586,中国银行余杭支行,合作银行
246587,信阳珠江村镇银行,合作银行
246588,苏邱信用社,合作银行
246589,靖江农商行,合作银行
246590,长春发展农商行,合作银行
246591,平顶山银行紫金山支行,合作银行
246592,工商银行绍兴分行,合作银行
246593,海门农行,合作银行
246594,长城国兴金融租赁有限公司,合作银行
246595,长安信托五期,合作银行
246596,长安信托六期,合作银行
246597,长安信托七期,合作银行
246598,长安信托八期,合作银行
246599,厦门国际,合作银行
246600,莱州农商行,合作银行
246601,顺德农商银行,合作银行
246602,宜昌三峡农商银行,合作银行
246603,王道银行,合作银行
246604,厂家金融,合作银行
246605,太平农商行,合作银行
246606,屯溪农商行,合作银行
246607,邮政储蓄银行淮安分行,合作银行
246608,农商银行,合作银行
246609,达州银行,合作银行
246610,福建海峡银行,合作银行
246611,紫金财务,合作银行
246612,上海银行滨海支行,合作银行
246613,中国民生银行股份有限公司,合作银行
246614,建行浦东,合作银行
246615,廊坊银行,合作银行
246616,平安银行股份有限公司郑州分行,合作银行
246617,马里发展银行(BDM),合作银行
246618,马里国际银行(BIM),合作银行
246619,马里团结银行(BMS),合作银行
246620,马里农业银行(BNDA),合作银行
246621,中国工商银行重庆渝中支行,合作银行
246622,建行重庆市分行营业部,合作银行
246623,中行重庆微电园支行,合作银行
246624,农业银行重庆渝北三亚湾支行,合作银行
246625,招商银行重庆渝中支行,合作银行
246626,重庆农村商业银行营业部,合作银行
246627,交通银行重庆爱都会支行,合作银行
246628,重庆三峡银行万州分行,合作银行
246629,建行中山路支行,合作银行
246630,工行储奇门支行,合作银行
246631,农行渝北龙骅支行,合作银行
246632,交行渝中支行,合作银行
246633,农商行市分行营业部,合作银行
246634,工行渝中支行,合作银行
246635,中行沙支行,合作银行
246636,重庆银行龙头寺支行,合作银行
246637,建行两江分行,合作银行
246638,浦发行重庆分行,合作银行
246639,民生行重庆分行,合作银行
246640,农商行重庆分行,合作银行
246641,工行上清寺支行,合作银行
246642,建设银行两江分行,合作银行
246643,兴业银行南岸支行,合作银行
246644,农业银行中华坊支行,合作银行
246645,交行高新支行,合作银行
246646,浦发银行重庆分行,合作银行
246647,中国建设银行两江分行,合作银行
246648,农行重庆中华坊支行,合作银行
246649,兴业银行重庆江南支行,合作银行
246650,中国农业发展银行江北支行,合作银行
246651,农商行营业部,合作银行
